iter	RMSE
0	23.163207
1	23.12439634
2	23.06680759
3	23.0185282
4	22.97676144
5	22.90484803
6	22.86069106
7	22.82101305
8	22.75365801
9	22.71064526
10	22.65497784
11	22.63121387
12	22.59965539
13	22.55553855
14	22.51593784
15	22.48204406
16	22.45980405
17	22.42574065
18	22.41422634
19	22.36693743
20	22.31671626
21	22.26961803
22	22.23422544
23	22.17951946
24	22.15599309
25	22.12336786
26	22.09358296
27	22.05632228
28	22.03229089
29	22.00920402
30	21.97326565
31	21.9513481
32	21.93425156
33	21.8950999
34	21.855086
35	21.81964079
36	21.79552482
37	21.75488628
38	21.72269597
39	21.69426321
40	21.65907506
41	21.64755892
42	21.59508941
43	21.55492162
44	21.52896799
45	21.50662209
46	21.47742505
47	21.4579977
48	21.42102419
49	21.39053144
50	21.3478172
51	21.30952275
52	21.28803453
53	21.26533664
54	21.21268503
55	21.18220081
56	21.15116007
57	21.1267727
58	21.1069736
59	21.08225562
60	21.04561246
61	21.03253105
62	20.99552277
63	20.97208614
64	20.93884515
65	20.90643831
66	20.88468991
67	20.86715361
68	20.84821494
69	20.82069701
70	20.79983598
71	20.76147182
72	20.7306616
73	20.70144536
74	20.66187807
75	20.61860324
76	20.59752394
77	20.56161786
78	20.51459698
79	20.4807163
80	20.44517037
81	20.40964991
82	20.37819023
83	20.3498974
84	20.33575209
85	20.30078195
86	20.2748266
87	20.24163289
88	20.21503831
89	20.19370333
90	20.16239091
91	20.13151262
92	20.10244352
93	20.0855247
94	20.07387693
95	20.04770412
96	20.02003557
97	20.00054612
98	19.98204092
99	19.96533251
100	19.94011061
101	19.89922277
102	19.86919952
103	19.86004668
104	19.8447878
105	19.82755512
106	19.80171889
107	19.78143916
108	19.74625405
109	19.72718392
110	19.71006175
111	19.70580994
112	19.68514705
113	19.66899876
114	19.64395118
115	19.62623005
116	19.60033872
117	19.59762647
118	19.56485937
119	19.54339432
120	19.51874731
121	19.51330339
122	19.48936854
123	19.47128526
124	19.44615424
125	19.42932807
126	19.39793469
127	19.3750508
128	19.34167363
129	19.32551164
130	19.30269067
131	19.25146418
132	19.23130756
133	19.19646455
134	19.16747917
135	19.14993584
136	19.12449264
137	19.10809239
138	19.08140464
139	19.06863964
140	19.05179759
141	19.02862634
142	19.00493314
143	18.98793967
144	18.9612581
145	18.94097298
146	18.92281515
147	18.88234203
148	18.85980384
149	18.84319318
150	18.81619764
151	18.78771373
152	18.76937341
153	18.75191219
154	18.73530155
155	18.72245569
156	18.7024828
157	18.67907107
158	18.64380531
159	18.62288157
160	18.59852911
161	18.58317383
162	18.56869388
163	18.55196338
164	18.52570142
165	18.50027804
166	18.48420411
167	18.46809677
168	18.45136785
169	18.42781166
170	18.39903954
171	18.38633858
172	18.37059958
173	18.35453091
174	18.33349265
175	18.30589002
176	18.28427235
177	18.2662286
178	18.24554883
179	18.22581295
180	18.20804805
181	18.19505138
182	18.1673844
183	18.14055799
184	18.1282212
185	18.1111798
186	18.09613687
187	18.08109759
188	18.05783876
189	18.04064729
190	18.02083897
191	17.99972492
192	17.9802307
193	17.96637754
194	17.9564791
195	17.93071179
196	17.91273142
197	17.88964224
198	17.86652294
199	17.84480244
200	17.82358593
201	17.79233235
202	17.76897398
203	17.74689241
204	17.73357066
205	17.71044338
206	17.67922016
207	17.66989902
208	17.6517276
209	17.63416325
210	17.60576546
211	17.58367946
212	17.55887857
213	17.54459748
214	17.51859659
215	17.50401508
216	17.48298507
217	17.46472072
218	17.43746959
219	17.41937777
220	17.39551091
221	17.37411267
222	17.36714608
223	17.34729259
224	17.33112143
225	17.31128247
226	17.29390312
227	17.27821597
228	17.2621372
229	17.24079948
230	17.22061868
231	17.20123381
232	17.19413483
233	17.17225093
234	17.15434781
235	17.14671845
236	17.12074519
237	17.09780975
238	17.08656479
239	17.06605451
240	17.0449059
241	17.02144336
242	16.99467663
243	16.97547573
244	16.96519087
245	16.94043393
246	16.92466583
247	16.90845583
248	16.89390722
249	16.88230504
250	16.85186439
251	16.82751145
252	16.81261569
253	16.80052039
254	16.78409908
255	16.76013109
256	16.75059339
257	16.73891295
258	16.71989158
259	16.71291507
260	16.700902
261	16.68529454
262	16.67779148
263	16.66238227
264	16.63835305
265	16.60991674
266	16.58728272
267	16.56736653
268	16.55070256
269	16.53272565
270	16.51817648
271	16.50958677
272	16.48436399
273	16.47868485
274	16.45053845
275	16.42813598
276	16.41708858
277	16.40302887
278	16.3845824
279	16.35945865
280	16.34363288
281	16.32588773
282	16.31419046
283	16.29565402
284	16.27410035
285	16.25954907
286	16.24918978
287	16.23148065
288	16.22324743
289	16.20634281
290	16.19049385
291	16.16626042
292	16.14317234
293	16.12501912
294	16.11028587
295	16.08141634
296	16.0679065
297	16.04851087
298	16.03561815
299	16.02191602
300	16.01011723
301	15.99326524
302	15.98631876
303	15.96944044
304	15.94822141
305	15.94124697
306	15.93263323
307	15.92233428
308	15.90405732
309	15.89420569
310	15.87755884
311	15.858382
312	15.83696101
313	15.82335994
314	15.80571364
315	15.78939849
316	15.76366669
317	15.75443036
318	15.73637403
319	15.72309193
320	15.69431183
321	15.67891639
322	15.66419756
323	15.65846396
324	15.64158166
325	15.63561644
326	15.61295421
327	15.60326306
328	15.59589212
329	15.58247304
330	15.56534176
331	15.55516673
332	15.53512218
333	15.5197544
334	15.50558167
335	15.49270265
336	15.47968365
337	15.46195214
338	15.4457469
339	15.42919285
340	15.41698728
341	15.40896054
342	15.40386985
343	15.38982919
344	15.37049569
345	15.36263036
346	15.34692515
347	15.33740927
348	15.3198171
349	15.29832416
350	15.28054813
351	15.26638954
352	15.26084722
353	15.24561978
354	15.23627716
355	15.22683784
356	15.20849246
357	15.18493497
358	15.17052508
359	15.15893355
360	15.14019872
361	15.11835426
362	15.10295958
363	15.09022217
364	15.07739061
365	15.06649537
366	15.05095066
367	15.03922241
368	15.02534072
369	15.01557388
370	15.00142134
371	14.98245261
372	14.97165733
373	14.95787945
374	14.94610563
375	14.93876776
376	14.93023097
377	14.91402008
378	14.90126159
379	14.88763553
380	14.87154729
381	14.86497752
382	14.85043283
383	14.83904696
384	14.82552165
385	14.81965233
386	14.80702172
387	14.79628391
388	14.78882851
389	14.78469627
390	14.77448737
391	14.76645805
392	14.75984118
393	14.75130548
394	14.73440362
395	14.71443762
396	14.69972521
397	14.68766603
398	14.68088026
399	14.66947308
400	14.66261879
401	14.64689316
402	14.63636639
403	14.61558393
404	14.61016515
405	14.59788086
406	14.58373984
407	14.56852906
408	14.55599741
409	14.54049181
410	14.53029764
411	14.52112174
412	14.51659665
413	14.49562172
414	14.48258331
415	14.46946822
416	14.45723479
417	14.44259309
418	14.43758252
419	14.42267586
420	14.4135214
421	14.39633322
422	14.37612828
423	14.35884105
424	14.34878965
425	14.33460553
426	14.32109499
427	14.30363159
428	14.29192336
429	14.28615847
430	14.28184626
431	14.27082925
432	14.26545623
433	14.24703577
434	14.2199803
435	14.20388972
436	14.19124521
437	14.17837051
438	14.16948169
439	14.16195319
440	14.15187069
441	14.14026832
442	14.13249341
443	14.12230206
444	14.10925738
445	14.08898919
446	14.0732543
447	14.06509895
448	14.05512267
